#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAAS	HSPA1A	9606.ENSP00000209873	9606.ENSP00000364802	0	0	0	0	0	0	0.400	0	0.400
AAAS	BCS1L	9606.ENSP00000209873	9606.ENSP00000413908	0	0	0	0	0.338	0	0	0.145	0.409
AAAS	SRSF9	9606.ENSP00000209873	9606.ENSP00000229390	0	0	0	0	0.075	0	0.400	0	0.421
AAAS	TARBP2	9606.ENSP00000209873	9606.ENSP00000266987	0	0	0	0	0.389	0	0	0.093	0.422
AAAS	SYMPK	9606.ENSP00000209873	9606.ENSP00000245934	0	0	0	0	0.083	0	0.400	0	0.426
AAAS	SNRPB	9606.ENSP00000209873	9606.ENSP00000412566	0	0	0	0	0.083	0	0.400	0	0.426
AAAS	LIG1	9606.ENSP00000209873	9606.ENSP00000263274	0	0	0	0	0.147	0	0	0.383	0.451
AAAS	U2AF2	9606.ENSP00000209873	9606.ENSP00000307863	0	0	0	0	0.127	0	0.400	0	0.453
AAAS	LAS1L	9606.ENSP00000209873	9606.ENSP00000363944	0	0	0	0	0.437	0	0	0.074	0.456
AAAS	COPS7A	9606.ENSP00000209873	9606.ENSP00000446039	0	0	0	0	0.107	0	0	0.422	0.462
AAAS	THOC6	9606.ENSP00000209873	9606.ENSP00000326531	0	0	0	0	0.178	0	0.400	0	0.486
AAAS	MCRS1	9606.ENSP00000209873	9606.ENSP00000349640	0	0	0	0	0.493	0	0	0.091	0.519
AAAS	RNPS1	9606.ENSP00000209873	9606.ENSP00000457723	0	0	0	0	0.083	0	0.500	0	0.521
AAAS	FTH1	9606.ENSP00000209873	9606.ENSP00000273550	0	0	0	0	0	0	0	0.570	0.570
AAAS	UBE2I	9606.ENSP00000209873	9606.ENSP00000348056	0	0	0	0	0.056	0.445	0.500	0	0.715
AAAS	SEC13	9606.ENSP00000209873	9606.ENSP00000373312	0	0	0	0	0.097	0.803	0.500	0.529	0.952
AAMP	GRWD1	9606.ENSP00000403343	9606.ENSP00000253237	0	0	0	0	0.797	0	0	0.353	0.863
AAMP	HSPBP1	9606.ENSP00000403343	9606.ENSP00000255631	0	0	0	0	0.107	0.601	0	0.142	0.667
AAMP	SIL1	9606.ENSP00000403343	9606.ENSP00000265195	0	0	0	0	0.061	0.601	0	0.142	0.650
AAMP	NHP2	9606.ENSP00000403343	9606.ENSP00000274606	0	0	0	0	0.607	0	0	0	0.607
AAMP	MRPL16	9606.ENSP00000403343	9606.ENSP00000300151	0	0	0	0	0.084	0.601	0	0.164	0.667
AAMP	FARSA	9606.ENSP00000403343	9606.ENSP00000320309	0	0	0	0	0.446	0	0	0	0.446
AAMP	ZNF48	9606.ENSP00000403343	9606.ENSP00000324056	0	0	0	0	0.044	0	0	0.430	0.432
AAMP	NOC4L	9606.ENSP00000403343	9606.ENSP00000328854	0	0	0	0	0.336	0	0	0.326	0.534
AAMP	DDX41	9606.ENSP00000403343	9606.ENSP00000330349	0	0	0	0	0.451	0	0	0	0.451
AAMP	MCRS1	9606.ENSP00000403343	9606.ENSP00000349640	0	0	0	0	0.533	0	0	0	0.533
AAMP	GNL1	9606.ENSP00000403343	9606.ENSP00000365806	0	0	0	0	0.272	0	0	0.244	0.426
AAMP	IDH3B	9606.ENSP00000403343	9606.ENSP00000482773	0	0	0	0	0.594	0	0	0	0.594
AAMP	TBL3	9606.ENSP00000403343	9606.ENSP00000454836	0	0	0	0.567	0.704	0	0	0.054	0.708
AAR2	PRPF19	9606.ENSP00000363043	9606.ENSP00000227524	0	0	0	0	0.066	0.361	0	0.352	0.580
AAR2	SYF2	9606.ENSP00000363043	9606.ENSP00000236273	0	0	0	0	0.063	0.071	0	0.473	0.501
AAR2	PIH1D1	9606.ENSP00000363043	9606.ENSP00000262265	0	0	0	0	0.109	0	0	0.538	0.571
AAR2	PRPF6	9606.ENSP00000363043	9606.ENSP00000266079	0	0	0	0	0.095	0.604	0.720	0.605	0.955
AAR2	NHP2	9606.ENSP00000363043	9606.ENSP00000274606	0	0	0	0	0.067	0.412	0	0.153	0.495
AAR2	GHDC	9606.ENSP00000363043	9606.ENSP00000301671	0	0	0	0	0.082	0.444	0	0	0.467
AAR2	CD2BP2	9606.ENSP00000363043	9606.ENSP00000304903	0	0	0	0	0.169	0.606	0.720	0.688	0.967
AAR2	ZNHIT2	9606.ENSP00000363043	9606.ENSP00000308548	0	0	0	0	0.056	0.801	0	0.747	0.948
AAR2	SART1	9606.ENSP00000363043	9606.ENSP00000310448	0	0	0	0	0.081	0.072	0	0.487	0.525
AAR2	PRPF31	9606.ENSP00000363043	9606.ENSP00000324122	0	0	0	0	0.116	0	0	0.549	0.584
AAR2	TSSC4	9606.ENSP00000363043	9606.ENSP00000331087	0	0	0	0	0.125	0.850	0	0.532	0.933
AAR2	MCRS1	9606.ENSP00000363043	9606.ENSP00000349640	0	0	0	0	0.460	0	0	0	0.460
AAR2	XAB2	9606.ENSP00000363043	9606.ENSP00000351137	0	0	0	0	0.187	0.371	0	0.183	0.546
AAR2	NCDN	9606.ENSP00000363043	9606.ENSP00000362340	0	0	0	0	0.060	0.627	0	0.610	0.851
AAR2	PEF1	9606.ENSP00000363043	9606.ENSP00000362807	0	0	0	0	0.337	0.209	0	0	0.453
AAR2	TMEM222	9606.ENSP00000363043	9606.ENSP00000483276	0	0	0	0	0.437	0	0	0	0.437
AAR2	PYM1	9606.ENSP00000363043	9606.ENSP00000386156	0	0	0	0	0.140	0	0	0.376	0.440
AAR2	RNPS1	9606.ENSP00000363043	9606.ENSP00000457723	0	0	0	0	0.099	0	0	0.415	0.451
AAR2	PSMD13	9606.ENSP00000363043	9606.ENSP00000396937	0	0	0	0	0.482	0	0	0	0.482
AAR2	RUVBL2	9606.ENSP00000363043	9606.ENSP00000473172	0	0	0	0	0.121	0.224	0	0.564	0.677
AAR2	SNRPB	9606.ENSP00000363043	9606.ENSP00000412566	0	0	0	0	0.095	0.556	0.540	0.296	0.852
AARS2	MRPS34	9606.ENSP00000244571	9606.ENSP00000177742	0	0	0	0	0.121	0.163	0	0.282	0.426
AARS2	UQCRC1	9606.ENSP00000244571	9606.ENSP00000203407	0.059	0	0	0	0.102	0.071	0	0.348	0.419
AARS2	AK1	9606.ENSP00000244571	9606.ENSP00000223836	0.058	0	0	0	0.093	0	0	0.429	0.470
AARS2	MRPL16	9606.ENSP00000244571	9606.ENSP00000300151	0.045	0	0	0	0.113	0	0	0.361	0.412
AARS2	POLRMT	9606.ENSP00000244571	9606.ENSP00000465759	0	0	0	0	0.328	0.125	0	0.115	0.434
AARS2	LRRC47	9606.ENSP00000244571	9606.ENSP00000367498	0.061	0	0	0	0.313	0	0	0.193	0.434
AARS2	MRPL55	9606.ENSP00000244571	9606.ENSP00000403614	0	0	0	0	0.062	0.164	0	0.347	0.443
AARS2	ANKRD16	9606.ENSP00000244571	9606.ENSP00000369436	0	0	0	0	0.140	0.096	0	0.341	0.443
AARS2	ABCB8	9606.ENSP00000244571	9606.ENSP00000297504	0	0	0	0	0.444	0	0	0	0.444
AARS2	FARSA	9606.ENSP00000244571	9606.ENSP00000320309	0.055	0	0	0	0.158	0	0	0.377	0.462
AARS2	BCS1L	9606.ENSP00000244571	9606.ENSP00000413908	0.070	0	0	0	0.217	0	0	0.321	0.462
AARS2	BCKDK	9606.ENSP00000244571	9606.ENSP00000378405	0.042	0	0	0	0.057	0	0	0.477	0.486
AARS2	INTS1	9606.ENSP00000244571	9606.ENSP00000385722	0	0	0	0	0.283	0	0	0.352	0.516
AARS2	DHX37	9606.ENSP00000244571	9606.ENSP00000311135	0	0	0	0	0.506	0	0	0.064	0.518
AARS2	CLPP	9606.ENSP00000244571	9606.ENSP00000245816	0.052	0	0	0	0.057	0.376	0	0.249	0.525
AARS2	TUFM	9606.ENSP00000244571	9606.ENSP00000322439	0	0	0	0	0.210	0.095	0	0.414	0.544
AARS2	GTPBP3	9606.ENSP00000244571	9606.ENSP00000351644	0	0	0	0	0.195	0	0	0.464	0.550
AARS2	GATB	9606.ENSP00000244571	9606.ENSP00000263985	0.115	0	0	0	0.271	0.143	0	0.380	0.612
