"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
,"Unclustered","4.761904761904762","AAAS","false","AAAS"
,"Unclustered","2.2222222222222223","HSPA1A","false","HSPA1A"
,"Unclustered","6.966666666666667","BCS1L","false","BCS1L"
"Cluster 4","Clustered","7.628571428571428","SRSF9","false","SRSF9"
,"Unclustered","3.0","TARBP2","false","TARBP2"
,"Unclustered","6.0","SYMPK","false","SYMPK"
"Cluster 4","Clustered","8.427586206896551","SNRPB","false","SNRPB"
"Cluster 6","Clustered","9.047619047619047","LIG1","false","LIG1"
"Cluster 6","Clustered","9.200000000000001","U2AF2","false","U2AF2"
,"Unclustered","8.0","LAS1L","false","LAS1L"
"Cluster 21","Clustered","3.333333333333333","COPS7A","false","COPS7A"
,"Unclustered","4.0","THOC6","false","THOC6"
"Cluster 24","Clustered","6.0","MCRS1","false","MCRS1"
"Cluster 4","Clustered","8.336842105263159","RNPS1","false","RNPS1"
"Cluster 5","Clustered","7.0","FTH1","false","FTH1"
"Cluster 20","Clustered","3.0128205128205128","UBE2I","false","UBE2I"
"Cluster 4","Clustered","8.0","SEC13","false","SEC13"
,"Unclustered","4.761904761904762","AAMP","false","AAMP"
"Cluster 2","Clustered","12.0","GRWD1","false","GRWD1"
"Cluster 2","Clustered","11.868131868131869","HSPBP1","false","HSPBP1"
"Cluster 2","Clustered","11.868131868131869","SIL1","false","SIL1"
"Cluster 2","Clustered","12.0","NHP2","false","NHP2"
"Cluster 1","Clustered","17.0","MRPL16","true","MRPL16"
,"Unclustered","8.0","FARSA","false","FARSA"
,"Unclustered","0.6666666666666666","ZNF48","false","ZNF48"
"Cluster 2","Clustered","12.0","NOC4L","false","NOC4L"
,"Unclustered","6.236363636363636","DDX41","false","DDX41"
"Cluster 2","Clustered","11.0","GNL1","false","GNL1"
"Cluster 6","Clustered","8.836363636363636","IDH3B","false","IDH3B"
"Cluster 2","Clustered","12.0","TBL3","false","TBL3"
,"Unclustered","4.690909090909091","AAR2","false","AAR2"
"Cluster 4","Clustered","8.136752136752136","PRPF19","false","PRPF19"
"Cluster 16","Clustered","9.848484848484848","SYF2","false","SYF2"
,"Unclustered","1.8285714285714285","PIH1D1","false","PIH1D1"
"Cluster 2","Clustered","10.956521739130435","PRPF6","false","PRPF6"
,"Unclustered","0.0","GHDC","false","GHDC"
,"Unclustered","6.805555555555555","CD2BP2","false","CD2BP2"
,"Unclustered","3.0","ZNHIT2","false","ZNHIT2"
"Cluster 2","Clustered","10.461904761904762","SART1","false","SART1"
"Cluster 6","Clustered","9.350649350649352","PRPF31","false","PRPF31"
,"Unclustered","3.888888888888889","TSSC4","false","TSSC4"
"Cluster 16","Clustered","9.9","XAB2","false","XAB2"
,"Unclustered","3.0","NCDN","false","NCDN"
,"Unclustered","4.0","PEF1","false","PEF1"
,"Unclustered","2.7","TMEM222","false","TMEM222"
,"Unclustered","2.0","PYM1","false","PYM1"
"Cluster 12","Clustered","4.107142857142857","PSMD13","false","PSMD13"
"Cluster 5","Clustered","7.0","RUVBL2","false","RUVBL2"
"Cluster 26","Clustered","3.4545454545454546","AARS2","false","AARS2"
"Cluster 1","Clustered","17.0","MRPS34","true","MRPS34"
"Cluster 1","Clustered","14.0","UQCRC1","true","UQCRC1"
,"Unclustered","5.564102564102564","AK1","false","AK1"
,"Unclustered","2.4444444444444446","POLRMT","false","POLRMT"
,"Unclustered","2.4727272727272727","LRRC47","false","LRRC47"
"Cluster 1","Clustered","17.0","MRPL55","true","MRPL55"
,"Unclustered","0.5","ANKRD16","false","ANKRD16"
,"Unclustered","1.6666666666666667","ABCB8","false","ABCB8"
"Cluster 26","Clustered","3.7333333333333334","BCKDK","false","BCKDK"
"Cluster 4","Clustered","8.0","INTS1","false","INTS1"
,"Unclustered","7.151515151515151","DHX37","false","DHX37"
"Cluster 6","Clustered","8.851851851851851","CLPP","false","CLPP"
"Cluster 1","Clustered","17.0","TUFM","true","TUFM"
