"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","78/445","314/18614",4.01250696393997e-57,1.01885606637192e-53,8.00645716600223e-54,"81792/140766/170690/9509/11174/11173/9719/165/84168/649/151887/3491/1490/1300/1301/1303/1306/1307/80781/1277/1278/255631/1281/1282/1289/1290/50509/1294/1295/1296/1311/83716/10491/1513/4921/1805/1842/30008/2006/11117/2191/2192/2295/2621/26585/83872/3690/9622/3912/4015/4016/4017/4035/4060/4148/4319/4320/4322/4323/4325/4327/4313/79148/4811/22795/169611/25903/5156/10630/23187/10631/7837/8434/861/6423/23213/55959/7093",78
"GO:0043062","GO:0043062","extracellular structure organization","78/445","315/18614",5.22758371663376e-57,1.01885606637192e-53,8.00645716600223e-54,"81792/140766/170690/9509/11174/11173/9719/165/84168/649/151887/3491/1490/1300/1301/1303/1306/1307/80781/1277/1278/255631/1281/1282/1289/1290/50509/1294/1295/1296/1311/83716/10491/1513/4921/1805/1842/30008/2006/11117/2191/2192/2295/2621/26585/83872/3690/9622/3912/4015/4016/4017/4035/4060/4148/4319/4320/4322/4323/4325/4327/4313/79148/4811/22795/169611/25903/5156/10630/23187/10631/7837/8434/861/6423/23213/55959/7093",78
"GO:0045229","GO:0045229","external encapsulating structure organization","78/445","317/18614",8.84539321193878e-57,1.14931142467125e-53,9.03161201640065e-54,"81792/140766/170690/9509/11174/11173/9719/165/84168/649/151887/3491/1490/1300/1301/1303/1306/1307/80781/1277/1278/255631/1281/1282/1289/1290/50509/1294/1295/1296/1311/83716/10491/1513/4921/1805/1842/30008/2006/11117/2191/2192/2295/2621/26585/83872/3690/9622/3912/4015/4016/4017/4035/4060/4148/4319/4320/4322/4323/4325/4327/4313/79148/4811/22795/169611/25903/5156/10630/23187/10631/7837/8434/861/6423/23213/55959/7093",78
"GO:0030199","GO:0030199","collagen fibril organization","30/445","64/18614",6.58201891978075e-32,6.41417743732634e-29,5.04044080435841e-29,"81792/140766/9509/11173/165/649/1301/1303/80781/1277/1278/1281/1289/1290/50509/1311/10491/4921/1805/30008/11117/26585/4015/4016/4017/4060/4320/7837/6423/7093",30
"GO:0032963","GO:0032963","collagen metabolic process","28/445","108/18614",1.78739241888565e-21,1.39345112976326e-18,1.09501303978047e-18,"140766/9509/1490/1277/1278/1289/1513/4921/11117/2191/3624/4319/4320/4322/4323/4325/4327/4313/79148/9902/64175/10536/5118/5159/57333/861/7043/9697",28
"GO:0031589","GO:0031589","cell-substrate adhesion","44/445","359/18614",3.88665639633519e-19,2.52503110548576e-16,1.9842403707606e-16,"81792/84962/285/84168/558/151887/3491/1490/1009/1012/1307/1277/1281/50509/1295/1601/1842/10085/30008/11117/54749/2192/2199/10979/2335/2621/26585/22801/3678/3690/9358/3912/55679/4323/91663/4811/22795/55742/10630/54453/5054/25992/6695/7070",44
"GO:0061448","GO:0061448","connective tissue development","38/445","275/18614",1.8826879084202e-18,1.03426203168397e-15,8.1275215689567e-16,"59/81792/11173/633/649/353500/3491/1490/8840/1301/1277/1281/1289/1311/1513/1833/2121/8817/392255/26585/9464/3690/4015/4017/4148/4322/579/5159/5593/5396/5745/860/6423/4092/23213/55959/7474/6935",38
"GO:0001503","GO:0001503","ossification","47/445","429/18614",2.24134975457307e-18,1.03426203168397e-15,8.1275215689567e-16,"81792/11173/54829/649/353500/3491/1490/8840/1009/6320/1301/1277/1278/1290/1291/1311/115908/1513/4921/10979/8817/26585/9464/22801/4015/4322/4323/4325/4313/4330/9902/5020/9260/5587/5745/4920/860/6423/4092/338773/7130/7291/117581/1462/7421/7474/10413",47
"GO:0051216","GO:0051216","cartilage development","33/445","203/18614",2.3879831413945e-18,1.03426203168397e-15,8.1275215689567e-16,"81792/11173/633/649/353500/3491/1490/8840/1301/1277/1281/1311/1513/1833/2121/8817/392255/26585/9464/4017/4148/4322/579/5593/5396/5745/860/6423/4092/23213/55959/7474/6935",33
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","40/445","345/18614",1.2266906605052e-16,4.78164019464927e-14,3.75754718112645e-14,"81792/9719/25960/54829/3491/8483/1601/1634/27122/11117/2200/2246/8823/8817/10468/11167/26585/5654/94031/3678/3690/57608/4015/4681/9315/56937/65997/860/6423/6424/387914/4092/23213/55959/7041/7043/79652/7130/7474/6935",40
