"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901342","GO:1901342","regulation of vasculature development","47/622","355/18614",6.27342693012038e-16,2.80798589392188e-12,2.2458868409831e-12,"94/9510/51378/10218/187/358/947/1003/7122/1215/1284/153090/28514/641700/2022/2152/2247/2321/4303/2828/3082/3202/3339/3373/3397/3791/10365/9314/4846/4881/8829/5228/5797/10266/57381/23328/9037/57556/10253/6915/7010/7048/7060/7075/63923/7424/2277",47
"GO:0045765","GO:0045765","regulation of angiogenesis","45/622","349/18614",7.17922395317892e-15,1.60671032072144e-11,1.28508108761903e-11,"94/9510/51378/187/358/947/1003/7122/1215/1284/153090/28514/641700/2022/2152/2247/2321/4303/2828/3082/3202/3339/3373/3791/10365/9314/4846/4881/8829/5228/5797/10266/57381/23328/9037/57556/10253/6915/7010/7048/7060/7075/63923/7424/2277",45
"GO:0001667","GO:0001667","ameboidal-type cell migration","53/622","496/18614",7.21804667585002e-14,1.07693256403682e-10,8.61353569984769e-11,"94/9590/51378/358/84159/84913/4856/1003/161198/114757/153090/54567/1908/1910/1948/1960/5168/2196/2247/2252/2324/3036/3357/3373/3397/3725/3791/9314/4223/79812/4846/3164/8829/29941/8613/5764/5797/57381/23328/56920/9037/57556/10501/9353/64321/54345/6915/6997/7010/7048/7145/7424/9839",53
"GO:0003018","GO:0003018","vascular process in circulatory system","37/622","265/18614",1.62174698922169e-13,1.81473488093907e-10,1.45146355535341e-10,"5243/10060/9429/150/9590/477/482/552/554/388125/857/1003/7122/1908/1910/2149/2828/3043/3357/3363/3672/3764/10365/3953/4846/4881/5021/5138/5139/83483/10266/387700/84889/53919/9353/6915/7010",37
"GO:0001936","GO:0001936","regulation of endothelial cell proliferation","30/622","185/18614",6.62110004772673e-13,5.92720876272497e-10,4.74070763417234e-10,"94/8854/187/84913/857/54567/51162/1960/2152/2247/2252/2321/2324/3357/3481/3725/3791/79812/4804/3164/8829/5228/5797/9037/7010/7060/7075/7424/2277/7432",30
"GO:0001935","GO:0001935","endothelial cell proliferation","31/622","201/18614",1.0805438178213e-12,8.06085688094687e-10,6.44724477966707e-10,"94/8854/187/84913/857/947/54567/51162/1960/2152/2247/2252/2321/2324/3357/3481/3725/3791/79812/4804/3164/8829/5228/5797/9037/7010/7060/7075/7424/2277/7432",31
"GO:0050673","GO:0050673","epithelial cell proliferation","50/622","488/18614",1.86842684121514e-12,1.19472550589699e-09,9.55566870221456e-10,"92/94/8854/187/84913/857/4856/947/1028/153090/54567/1910/1948/51162/1960/2152/2247/2252/2321/2324/2735/3082/3202/3357/3373/3397/3479/3481/182/3725/3791/687/79812/4804/3164/8829/5228/5764/5797/9037/6909/7010/7049/7060/7075/8626/7424/2277/7432/7538",50
"GO:0034329","GO:0034329","cell junction assembly","47/622","444/18614",2.79550038448995e-12,1.56408246512213e-09,1.25098642205925e-09,"94/287/187/347/395/22899/857/140689/1003/1004/5010/149461/7122/1366/1308/10391/10395/26052/1948/1949/2042/90952/23768/2701/10052/83700/3791/145581/4038/94030/57633/54674/51599/4131/54413/8829/9379/5021/56131/79834/5175/10266/85358/6622/8128/7010/55901",47
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","45/622","419/18614",5.04271748092772e-12,2.50791149384805e-09,2.00588095352458e-09,"94/8854/187/84913/857/1028/153090/54567/1910/1948/51162/1960/2152/2247/2252/2321/2324/2735/3202/3357/3373/3397/3479/3481/182/3725/3791/687/79812/4804/3164/8829/5228/5764/5797/9037/7010/7049/7060/7075/8626/7424/2277/7432/7538",45
"GO:0002040","GO:0002040","sprouting angiogenesis","29/622","188/18614",5.82658606907014e-12,2.6079799245158e-09,2.08591781272711e-09,"94/187/161198/28514/54567/1948/1960/2247/2324/3791/10365/9314/4223/79812/4804/3164/8829/5228/10266/57381/9037/57556/9353/6915/6997/7010/63923/7424/2277",29
"GO:0003007","GO:0003007","heart morphogenesis","34/622","262/18614",1.28359922419768e-11,5.22308193409891e-09,4.17753202057062e-09,"94/9510/11096/8854/187/140706/7122/8642/10395/28514/54567/2022/23768/2931/57493/23462/3357/182/3725/4487/4846/4887/8829/5311/1901/9353/6586/64321/54345/10252/6909/7010/7048/7049",34
"GO:0045766","GO:0045766","positive regulation of angiogenesis","28/622","185/18614",2.16054978644031e-11,7.43893911085142e-09,5.94982171958179e-09,"94/51378/187/358/947/1003/1215/28514/2022/2152/2247/2321/3082/3373/3791/9314/4846/8829/5228/10266/23328/9037/6915/7010/7048/63923/7424/2277",28
"GO:1904018","GO:1904018","positive regulation of vasculature development","28/622","185/18614",2.16054978644031e-11,7.43893911085142e-09,5.94982171958179e-09,"94/51378/187/358/947/1003/1215/28514/2022/2152/2247/2321/3082/3373/3791/9314/4846/8829/5228/10266/23328/9037/6915/7010/7048/63923/7424/2277",28
"GO:0001570","GO:0001570","vasculogenesis","19/622","83/18614",2.38371597145545e-11,7.59842471465342e-09,6.07738169760037e-09,"187/857/947/51162/2022/8322/10052/57493/23462/3726/3791/8829/10266/54922/64321/54345/7048/7049/7075",19
"GO:0003158","GO:0003158","endothelium development","24/622","137/18614",2.5463889794415e-11,7.59842471465342e-09,6.07738169760037e-09,"94/81575/84913/947/1003/7122/28514/54567/1910/2701/57493/23462/3397/182/3791/4855/8829/5138/5175/54538/1901/64321/54345/7075",24
"GO:0007389","GO:0007389","pattern specification process","46/622","467/18614",5.72565085786537e-11,1.60175082748784e-08,1.28111437944738e-08,"92/94/8854/60529/187/8642/28514/54567/1959/2022/2114/2247/9573/2735/2736/64388/23462/3199/3200/3201/3202/3203/3236/3232/3235/4038/4211/4212/4222/4223/4487/85407/8829/4909/5125/5311/5649/64321/54345/10252/6909/6997/7048/7092/8626/7704",46
"GO:0010631","GO:0010631","epithelial cell migration","40/622","371/18614",7.08359681324644e-11,1.86506937271124e-08,1.4917221524366e-08,"94/51378/84913/4856/1003/161198/153090/54567/1948/1960/5168/2196/2247/2252/2324/3373/3397/3725/3791/9314/4223/79812/4846/3164/8829/29941/8613/5764/5797/57381/23328/9037/9353/54345/6915/6997/7010/7048/7424/9839",40
"GO:0003002","GO:0003002","regionalization","43/622","422/18614",8.42224195783981e-11,2.09433083351617e-08,1.67509034494814e-08,"92/94/8854/60529/187/28514/54567/1959/2022/2114/2247/9573/2735/2736/64388/23462/3199/3200/3201/3202/3203/3236/3232/3235/4038/4222/4223/4487/85407/8829/4909/5125/5311/5649/64321/54345/10252/6909/6997/7048/7092/8626/7704",43
"GO:0090132","GO:0090132","epithelium migration","40/622","374/18614",9.06196104932374e-11,2.13480724509332e-08,1.70746423981995e-08,"94/51378/84913/4856/1003/161198/153090/54567/1948/1960/5168/2196/2247/2252/2324/3373/3397/3725/3791/9314/4223/79812/4846/3164/8829/29941/8613/5764/5797/57381/23328/9037/9353/54345/6915/6997/7010/7048/7424/9839",40
"GO:0090130","GO:0090130","tissue migration","40/622","379/18614",1.35748288422023e-10,3.03804669488487e-08,2.42989436275421e-08,"94/51378/84913/4856/1003/161198/153090/54567/1948/1960/5168/2196/2247/2252/2324/3373/3397/3725/3791/9314/4223/79812/4846/3164/8829/29941/8613/5764/5797/57381/23328/9037/9353/54345/6915/6997/7010/7048/7424/9839",40
"GO:0001938","GO:0001938","positive regulation of endothelial cell proliferation","21/622","115/18614",2.00826547901392e-10,4.28047442098395e-08,3.42361448327135e-08,"94/187/51162/1960/2152/2247/2252/2324/3357/3481/3725/3791/3164/8829/5228/9037/7010/7060/7424/2277/7432",21
"GO:0048568","GO:0048568","embryonic organ development","44/622","453/18614",2.38611305955675e-10,4.85465547935273e-08,3.88285670600598e-08,"2/8854/60529/187/64072/1028/28514/2202/2022/2034/2487/2623/9573/2735/2736/23462/3199/3200/3201/3202/3236/3232/3235/3373/3399/3481/8516/3726/3791/4487/51294/5125/5154/5311/91461/64321/54345/6692/10253/6886/6913/6909/7048/7484",44
"GO:0045446","GO:0045446","endothelial cell differentiation","21/622","119/18614",3.89569184386082e-10,7.58135508396566e-08,6.06372904392249e-08,"94/81575/84913/1003/7122/28514/1910/57493/23462/3397/182/3791/4855/8829/5138/5175/54538/1901/64321/54345/7075",21
"GO:0030198","GO:0030198","extracellular matrix organization","35/622","314/18614",4.5669755417372e-10,8.51740938533988e-08,6.81240518309133e-08,"25890/9510/81794/170692/11096/11095/92949/10218/857/1215/7373/1308/1284/1511/133584/2022/10516/23768/2670/3036/60495/8516/3908/4147/4239/8510/4629/11107/10266/6692/7075/7092/7148/7177/5212",35
"GO:0043062","GO:0043062","extracellular structure organization","35/622","315/18614",4.97913992045765e-10,8.91465211358738e-08,7.13012836609536e-08,"25890/9510/81794/170692/11096/11095/92949/10218/857/1215/7373/1308/1284/1511/133584/2022/10516/23768/2670/3036/60495/8516/3908/4147/4239/8510/4629/11107/10266/6692/7075/7092/7148/7177/5212",35
