,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0001667,GO:0001667,ameboidal-type cell migration,53/622,496/18614,7.22E-14,1.08E-10,8.61E-11,94/9590/51378/358/84159/84913/4856/1003/161198/114757/153090/54567/1908/1910/1948/1960/5168/2196/2247/2252/2324/3036/3357/3373/3397/3725/3791/9314/4223/79812/4846/3164/8829/29941/8613/5764/5797/57381/23328/56920/9037/57556/10501/9353/64321/54345/6915/6997/7010/7048/7145/7424/9839,53
GO:0010631,GO:0010631,epithelial cell migration,40/622,371/18614,7.08E-11,1.87E-08,1.49E-08,94/51378/84913/4856/1003/161198/153090/54567/1948/1960/5168/2196/2247/2252/2324/3373/3397/3725/3791/9314/4223/79812/4846/3164/8829/29941/8613/5764/5797/57381/23328/9037/9353/54345/6915/6997/7010/7048/7424/9839,40
GO:0090132,GO:0090132,epithelium migration,40/622,374/18614,9.06E-11,2.13E-08,1.71E-08,94/51378/84913/4856/1003/161198/153090/54567/1948/1960/5168/2196/2247/2252/2324/3373/3397/3725/3791/9314/4223/79812/4846/3164/8829/29941/8613/5764/5797/57381/23328/9037/9353/54345/6915/6997/7010/7048/7424/9839,40
GO:0090130,GO:0090130,tissue migration,40/622,379/18614,1.36E-10,3.04E-08,2.43E-08,94/51378/84913/4856/1003/161198/153090/54567/1948/1960/5168/2196/2247/2252/2324/3373/3397/3725/3791/9314/4223/79812/4846/3164/8829/29941/8613/5764/5797/57381/23328/9037/9353/54345/6915/6997/7010/7048/7424/9839,40
GO:0043542,GO:0043542,endothelial cell migration,32/622,283/18614,1.80E-09,2.98E-07,2.39E-07,94/51378/84913/4856/1003/161198/153090/54567/1948/1960/2247/2324/3397/3791/9314/4223/79812/4846/3164/8829/8613/5764/5797/57381/23328/9037/9353/54345/6915/6997/7010/7424,32
GO:0030336,GO:0030336,negative regulation of cell migration,30/622,375/18614,1.00E-05,0.0003298,0.000263781,94/51378/347/482/56477/4856/4345/149461/7122/114757/153090/10395/54567/1843/2022/2247/3036/90865/182/9314/79772/4223/79812/4739/4804/5797/9353/6915/7075/63923,30
GO:0010632,GO:0010632,regulation of epithelial cell migration,29/622,295/18614,2.25E-07,1.51E-05,1.21E-05,94/51378/84913/153090/54567/5168/2247/2252/2324/3373/3725/3791/9314/4223/79812/4846/8829/8613/5764/5797/57381/23328/9037/9353/6915/6997/7010/7048/7424,29
GO:0050900,GO:0050900,leukocyte migration,29/622,393/18614,6.17E-05,0.001321417,0.001056898,347/6358/56477/4856/4345/947/1511/1843/1908/1910/2321/148823/90865/3672/58494/83700/10894/4739/80310/5175/5228/83483/5764/1901/6403/9353/7060/7424/2277,29
GO:0010594,GO:0010594,regulation of endothelial cell migration,24/622,232/18614,9.99E-07,4.83E-05,3.86E-05,94/51378/84913/153090/54567/2247/2324/3791/9314/4223/79812/4846/8829/8613/5764/5797/57381/23328/9037/9353/6915/6997/7010/7424,24
GO:0043534,GO:0043534,blood vessel endothelial cell migration,22/622,179/18614,1.45E-07,1.10E-05,8.81E-06,94/51378/1003/161198/54567/1948/1960/2247/3397/3791/9314/4223/79812/4846/3164/8829/57381/9353/54345/6915/6997/7424,22
GO:0002685,GO:0002685,regulation of leukocyte migration,21/622,227/18614,2.62E-05,0.000651236,0.000520872,347/56477/4856/4345/1843/1908/148823/90865/58494/83700/10894/4739/80310/5228/83483/5764/6403/9353/7060/7424/2277,21
GO:0010634,GO:0010634,positive regulation of epithelial cell migration,19/622,176/18614,7.15E-06,0.000253942,0.000203109,51378/84913/5168/2247/2252/2324/3373/3725/3791/4846/8829/8613/57381/23328/9037/6997/7010/7048/7424,19
GO:0097529,GO:0097529,myeloid leukocyte migration,17/622,241/18614,0.003145236,0.029086934,0.023264348,6358/4856/4345/1511/1843/1908/1910/2321/3672/83700/80310/5175/5228/9353/7060/7424/2277,17
GO:0002042,GO:0002042,cell migration involved in sprouting angiogenesis,15/622,96/18614,6.53E-07,3.61E-05,2.89E-05,161198/54567/1948/1960/2247/3791/9314/4223/79812/3164/8829/57381/9353/6915/6997,15
GO:0010595,GO:0010595,positive regulation of endothelial cell migration,14/622,131/18614,0.000125402,0.002358396,0.001886295,51378/84913/2247/2324/3791/4846/8829/8613/57381/23328/9037/6997/7010/7424,14
GO:0002687,GO:0002687,positive regulation of leukocyte migration,13/622,147/18614,0.001326145,0.014876753,0.011898744,1908/58494/83700/10894/4739/80310/5228/83483/5764/6403/7060/7424/2277,13
GO:0043535,GO:0043535,regulation of blood vessel endothelial cell migration,13/622,152/18614,0.001794467,0.019017024,0.01521022,94/51378/54567/2247/3791/9314/4223/79812/4846/8829/57381/6915/7424,13
GO:0010596,GO:0010596,negative regulation of endothelial cell migration,11/622,99/18614,0.000466165,0.006637285,0.005308641,94/51378/153090/54567/2247/9314/4223/79812/5797/9353/6915,11
GO:0010633,GO:0010633,negative regulation of epithelial cell migration,11/622,116/18614,0.001748205,0.018586622,0.014865975,94/51378/153090/54567/2247/9314/4223/79812/5797/9353/6915,11
