#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACKR3	CXCL12	9606.ENSP00000272928	9606.ENSP00000379140	0	0	0	0	0.076	0.900	0.900	0.997	0.999
ACKR4	ISM1	9606.ENSP00000249887	9606.ENSP00000262487	0	0	0	0	0.083	0	0	0.408	0.434
ACKR4	CXCL12	9606.ENSP00000249887	9606.ENSP00000379140	0	0	0	0	0.088	0.046	0	0.858	0.865
ACOT13	MYADM	9606.ENSP00000230048	9606.ENSP00000375649	0	0	0	0	0.042	0	0	0.404	0.404
ACTA2	DCN	9606.ENSP00000224784	9606.ENSP00000052754	0	0	0	0	0.252	0.095	0	0.371	0.537
ACTA2	MYH9	9606.ENSP00000224784	9606.ENSP00000216181	0	0	0	0	0.115	0.368	0.900	0.265	0.953
ACTA2	MMP2	9606.ENSP00000224784	9606.ENSP00000219070	0	0	0	0	0.096	0	0	0.594	0.617
ACTA2	COL8A1	9606.ENSP00000224784	9606.ENSP00000261037	0	0	0	0	0.110	0.101	0	0.310	0.400
ACTA2	TWIST1	9606.ENSP00000224784	9606.ENSP00000242261	0	0	0	0	0.085	0	0	0.373	0.402
ACTA2	FBLN1	9606.ENSP00000224784	9606.ENSP00000331544	0	0	0	0	0.096	0.103	0	0.323	0.403
ACTA2	TCF4	9606.ENSP00000224784	9606.ENSP00000381382	0	0	0	0	0.080	0.069	0	0.364	0.408
ACTA2	CXCL12	9606.ENSP00000224784	9606.ENSP00000379140	0	0	0	0	0.138	0	0	0.348	0.414
ACTA2	ZMAT3	9606.ENSP00000224784	9606.ENSP00000311221	0	0	0	0	0.047	0.374	0	0.110	0.423
ACTA2	ITGBL1	9606.ENSP00000224784	9606.ENSP00000365351	0	0	0	0	0.095	0.070	0	0.387	0.439
ACTA2	IGFBP7	9606.ENSP00000224784	9606.ENSP00000295666	0	0	0	0	0.253	0	0	0.288	0.445
ACTA2	MYL3	9606.ENSP00000224784	9606.ENSP00000499406	0	0	0	0	0.092	0.150	0	0.340	0.446
ACTA2	COL6A3	9606.ENSP00000224784	9606.ENSP00000295550	0	0	0	0	0.107	0.101	0	0.376	0.455
ACTA2	LTBP2	9606.ENSP00000224784	9606.ENSP00000261978	0	0	0	0	0.118	0.103	0	0.367	0.456
ACTA2	COL6A1	9606.ENSP00000224784	9606.ENSP00000355180	0	0	0	0	0.092	0.091	0	0.407	0.468
ACTA2	PRKG1	9606.ENSP00000224784	9606.ENSP00000363092	0	0	0	0	0.069	0.044	0	0.482	0.499
ACTA2	LUM	9606.ENSP00000224784	9606.ENSP00000266718	0	0	0	0	0.166	0.095	0	0.399	0.507
ACTA2	ELN	9606.ENSP00000224784	9606.ENSP00000351807	0	0	0	0	0.086	0	0	0.488	0.512
ACTA2	TGFB3	9606.ENSP00000224784	9606.ENSP00000238682	0	0	0	0	0.138	0	0	0.475	0.528
ACTA2	LOX	9606.ENSP00000224784	9606.ENSP00000231004	0	0	0	0	0.088	0.103	0	0.474	0.533
ACTA2	COL6A2	9606.ENSP00000224784	9606.ENSP00000300527	0	0	0	0	0.098	0.101	0	0.479	0.541
ACTA2	COL5A2	9606.ENSP00000224784	9606.ENSP00000364000	0	0	0	0	0.138	0.101	0	0.461	0.546
ACTA2	MFAP5	9606.ENSP00000224784	9606.ENSP00000352455	0	0	0	0	0.131	0	0	0.506	0.552
ACTA2	PDGFRA	9606.ENSP00000224784	9606.ENSP00000257290	0	0	0	0	0.120	0	0	0.518	0.558
ACTA2	COL5A1	9606.ENSP00000224784	9606.ENSP00000360882	0	0	0	0	0.145	0.101	0	0.519	0.598
ACTA2	COL4A1	9606.ENSP00000224784	9606.ENSP00000364979	0	0	0	0	0.155	0.101	0	0.519	0.603
ACTA2	EFEMP2	9606.ENSP00000224784	9606.ENSP00000309953	0	0	0	0	0.155	0.103	0	0.528	0.611
ACTA2	ASPN	9606.ENSP00000224784	9606.ENSP00000364694	0	0	0	0	0.197	0.095	0	0.525	0.624
ACTA2	THY1	9606.ENSP00000224784	9606.ENSP00000284240	0	0	0	0	0.085	0	0	0.615	0.632
ACTA2	FN1	9606.ENSP00000224784	9606.ENSP00000346839	0	0	0	0	0.078	0	0	0.676	0.689
ACTA2	BGN	9606.ENSP00000224784	9606.ENSP00000327336	0	0	0	0	0.195	0.095	0	0.611	0.692
ACTA2	CNN2	9606.ENSP00000224784	9606.ENSP00000456436	0	0	0	0	0.099	0.573	0	0.293	0.704
ACTA2	FBN1	9606.ENSP00000224784	9606.ENSP00000325527	0	0	0	0	0.114	0.103	0	0.677	0.721
ACTA2	CCN2	9606.ENSP00000224784	9606.ENSP00000356954	0	0	0	0	0.113	0	0	0.705	0.727
ACTA2	POSTN	9606.ENSP00000224784	9606.ENSP00000369071	0	0	0	0	0.162	0	0	0.691	0.730
ACTA2	LMOD1	9606.ENSP00000224784	9606.ENSP00000356257	0	0	0	0	0.205	0	0.500	0.475	0.773
ACTA2	PDGFRB	9606.ENSP00000224784	9606.ENSP00000261799	0	0	0	0	0.243	0	0	0.723	0.781
ACTA2	COL1A2	9606.ENSP00000224784	9606.ENSP00000297268	0	0	0	0	0.222	0.101	0	0.756	0.814
ACTA2	TPM2	9606.ENSP00000224784	9606.ENSP00000496494	0	0	0	0	0.210	0.192	0.500	0.514	0.824
ACTA2	TPM1	9606.ENSP00000224784	9606.ENSP00000351022	0	0	0	0	0.165	0.347	0.500	0.474	0.838
ACTA2	COL3A1	9606.ENSP00000224784	9606.ENSP00000304408	0	0	0	0	0.336	0.101	0	0.818	0.882
ACTA2	CNN1	9606.ENSP00000224784	9606.ENSP00000252456	0	0	0	0	0.291	0.114	0	0.842	0.892
ACTA2	COL1A1	9606.ENSP00000224784	9606.ENSP00000225964	0	0	0	0	0.270	0.101	0	0.899	0.928
ACTA2	TAGLN	9606.ENSP00000224784	9606.ENSP00000376678	0	0	0	0	0.449	0.140	0	0.911	0.954
ACTA2	MYL9	9606.ENSP00000224784	9606.ENSP00000279022	0	0	0	0	0.223	0.126	0.900	0.615	0.970
ADAM12	MMP11	9606.ENSP00000357668	9606.ENSP00000215743	0	0	0	0	0.075	0	0	0.500	0.518
ADAM12	MMP2	9606.ENSP00000357668	9606.ENSP00000219070	0	0	0	0	0.180	0	0	0.379	0.469
ADAM12	COL1A1	9606.ENSP00000357668	9606.ENSP00000225964	0	0	0	0	0.160	0	0	0.367	0.446
ADAM12	CCN4	9606.ENSP00000357668	9606.ENSP00000250160	0	0	0	0	0.285	0	0	0.290	0.470
ADAM12	ADAMTS2	9606.ENSP00000357668	9606.ENSP00000251582	0	0	0	0.556	0.305	0	0	0.244	0.453
ADAM12	TIMP2	9606.ENSP00000357668	9606.ENSP00000262768	0	0	0	0	0.103	0	0	0.404	0.442
ADAM12	NOX4	9606.ENSP00000357668	9606.ENSP00000263317	0	0	0	0	0.127	0	0	0.423	0.474
ADAM12	TIMP3	9606.ENSP00000357668	9606.ENSP00000266085	0	0	0	0	0.104	0	0	0.470	0.504
ADAM12	NRG1	9606.ENSP00000357668	9606.ENSP00000287842	0	0	0	0	0.067	0	0	0.405	0.421
ADAM12	COL6A3	9606.ENSP00000357668	9606.ENSP00000295550	0	0	0	0	0.162	0	0	0.422	0.495
ADAM12	COL1A2	9606.ENSP00000357668	9606.ENSP00000297268	0	0	0	0	0.169	0	0	0.340	0.428
ADAM12	RUNX1	9606.ENSP00000357668	9606.ENSP00000300305	0	0	0	0	0.072	0	0	0.409	0.428
ADAM12	COL3A1	9606.ENSP00000357668	9606.ENSP00000304408	0	0	0	0	0.162	0	0	0.330	0.415
