gene_name	moduleColor
A2M	pink
AAAS	blue
AAMP	blue
AAR2	blue
AARS2	blue
AASS	pink
AATK	blue
ABCA10	pink
ABCA6	pink
ABCA8	pink
ABCA9	pink
ABCB1	pink
ABCB5	pink
ABCB8	blue
ABCB9	blue
ABCC4	blue
ABCC9	pink
ABCD4	blue
ABCG2	pink
ABHD12	pink
ABHD14B	blue
ABHD17A	blue
ABHD8	blue
ABI3BP	pink
ABLIM1	blue
ABTB1	blue
AC004233.4	blue
AC093323.1	blue
ACAA1	blue
ACADS	blue
ACBD4	blue
ACKR1	pink
ACKR3	magenta
ACKR4	magenta
ACOT13	magenta
ACOT8	blue
ACOXL	blue
ACSL1	blue
ACSS1	blue
ACTA2	magenta
ACTR1A	blue
ACTR1B	blue
ACTR3	blue
ACVR2A	pink
ACVRL1	pink
ADAM12	magenta
ADAM17	blue
ADAM22	pink
ADAM23	pink
ADAM33	pink
ADAM9	blue
ADAMTS1	pink
ADAMTS10	pink
ADAMTS12	magenta
ADAMTS14	magenta
ADAMTS16	magenta
ADAMTS18	pink
ADAMTS2	magenta
ADAMTS5	pink
ADAMTS6	magenta
ADAMTS7	magenta
ADAMTS8	pink
ADAMTSL1	pink
ADAMTSL2	magenta
ADAP1	blue
ADAT3	blue
ADCK1	blue
ADCK2	blue
ADCY3	blue
ADCY4	pink
ADCYAP1R1	pink
ADGRA2	magenta
ADGRD1	pink
ADGRD2	pink
ADGRF5	pink
ADGRL1	blue
ADGRL4	pink
ADH1C	pink
ADRA2A	pink
ADSS1	blue
AEBP1	magenta
AFAP1L1	pink
AFAP1L2	pink
AGAP3	blue
AGFG2	blue
AGRN	blue
AGTPBP1	blue
AGTRAP	blue
AHDC1	blue
AHNAK2	blue
AIP	blue
AJM1	blue
AJUBA	magenta
AK1	blue
AK5	pink
AKAP12	pink
AKAP6	blue
AKIP1	blue
AKR7A2	blue
AKT1S1	blue
AKT2	blue
ALDH16A1	blue
ALDH1A2	pink
ALKBH4	blue
ALKBH7	blue
ALPK3	magenta
ALX4	pink
AMDHD2	blue
AMMECR1	blue
AMOTL2	magenta
AMPH	magenta
ANGPT2	magenta
ANGPT4	pink
ANGPTL1	pink
ANGPTL2	magenta
ANGPTL7	pink
ANK2	pink
ANKRD16	blue
ANKRD24	blue
ANKRD29	pink
ANKRD65	pink
ANKRD9	blue
ANKS3	blue
ANO8	blue
ANTKMT	blue
ANTXR1	magenta
ANTXR2	magenta
AOX1	pink
AP002990.1	blue
AP1M2	blue
AP2A1	blue
AP2A2	blue
AP4M1	blue
AP5Z1	blue
APBA3	blue
APEH	blue
APELA	magenta
APEX1	blue
APLNR	pink
APOD	pink
APOL5	pink
APOLD1	pink
APTX	magenta
AQP1	pink
AQP8	blue
ARAF	blue
ARAP3	pink
ARF4	blue
ARFGAP1	blue
ARFGAP2	blue
ARFGAP3	blue
ARFRP1	blue
ARHGAP20	pink
ARHGAP21	blue
ARHGAP23	pink
ARHGAP24	pink
ARHGAP6	pink
ARHGEF10L	blue
ARHGEF15	pink
ARHGEF16	blue
ARHGEF18	blue
ARHGEF19	blue
ARHGEF25	magenta
ARHGEF40	magenta
ARID3A	blue
ARID5B	pink
ARL15	pink
ARL2BP	blue
ARL4A	pink
ARL4D	blue
ARMC5	blue
ARMC6	blue
ARMCX4	pink
ARMH4	magenta
ARRDC1	blue
ARRDC4	pink
ARSI	magenta
