#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	CTSG	9606.ENSP00000323929	9606.ENSP00000216336	0	0	0	0	0.045	0.127	0	0.449	0.501
A2M	EGR1	9606.ENSP00000323929	9606.ENSP00000239938	0	0	0	0	0.050	0.045	0	0.449	0.456
A2M	VWF	9606.ENSP00000323929	9606.ENSP00000261405	0	0	0	0	0.179	0	0	0.537	0.603
A2M	FGF2	9606.ENSP00000323929	9606.ENSP00000264498	0	0	0	0	0.056	0	0	0.660	0.665
A2M	ADAMTS1	9606.ENSP00000323929	9606.ENSP00000284984	0	0	0	0	0.067	0.292	0	0.203	0.428
A2M	CLEC3B	9606.ENSP00000323929	9606.ENSP00000296130	0	0	0	0	0.117	0	0	0.502	0.542
A2M	HSP90B1	9606.ENSP00000323929	9606.ENSP00000299767	0	0	0	0	0.049	0	0	0.590	0.593
A2M	C7	9606.ENSP00000323929	9606.ENSP00000322061	0	0	0	0	0.157	0	0	0.513	0.571
A2M	THBD	9606.ENSP00000323929	9606.ENSP00000366307	0	0	0	0	0.062	0	0	0.402	0.415
A2M	SPARCL1	9606.ENSP00000323929	9606.ENSP00000414856	0	0	0	0	0.324	0	0	0.174	0.418
A2M	FOXO1	9606.ENSP00000323929	9606.ENSP00000368880	0	0	0	0	0.047	0	0	0.424	0.427
A2M	GHR	9606.ENSP00000323929	9606.ENSP00000483403	0	0	0	0	0.075	0	0	0.432	0.452
A2M	F10	9606.ENSP00000323929	9606.ENSP00000364709	0	0	0	0	0.109	0.127	0	0.379	0.475
A2M	GSN	9606.ENSP00000323929	9606.ENSP00000362924	0	0	0	0	0.138	0	0	0.442	0.498
A2M	F3	9606.ENSP00000323929	9606.ENSP00000334145	0	0	0	0	0.042	0	0	0.541	0.541
A2M	GAPDH	9606.ENSP00000323929	9606.ENSP00000380070	0	0	0	0	0.069	0	0	0.529	0.542
A2M	APOD	9606.ENSP00000323929	9606.ENSP00000345179	0	0	0	0	0.111	0	0	0.541	0.574
A2M	IGF1	9606.ENSP00000323929	9606.ENSP00000376637	0	0	0	0	0.097	0	0	0.548	0.575
A2M	HBB	9606.ENSP00000323929	9606.ENSP00000494175	0	0	0	0	0.062	0	0	0.572	0.582
A2M	SELENOP	9606.ENSP00000323929	9606.ENSP00000425915	0	0	0	0	0.314	0	0	0.509	0.648
A2M	NGF	9606.ENSP00000323929	9606.ENSP00000358525	0	0	0	0	0	0.292	0	0.620	0.719
ABCA10	ABCC9	9606.ENSP00000269081	9606.ENSP00000261200	0	0	0	0	0.071	0.100	0	0.470	0.519
ABCA10	ABCA9	9606.ENSP00000269081	9606.ENSP00000342216	0	0	0.057	0.966	0.080	0.372	0	0.072	0.427
ABCA10	ABCA6	9606.ENSP00000269081	9606.ENSP00000284425	0	0	0.058	0.964	0.075	0.222	0	0.271	0.440
ABCA6	ABCB1	9606.ENSP00000284425	9606.ENSP00000478255	0	0	0	0.551	0.082	0.100	0	0.342	0.409
ABCA6	APOD	9606.ENSP00000284425	9606.ENSP00000345179	0	0	0	0	0.127	0	0	0.415	0.468
ABCA6	ABCA8	9606.ENSP00000284425	9606.ENSP00000467271	0	0	0.061	0.959	0.345	0.255	0	0.389	0.683
ABCA6	FOXO1	9606.ENSP00000284425	9606.ENSP00000368880	0	0	0	0	0.076	0.054	0.750	0.149	0.789
ABCA6	ABCA9	9606.ENSP00000284425	9606.ENSP00000342216	0	0	0.060	0.960	0.771	0.068	0	0.078	0.790
ABCA8	ABCC9	9606.ENSP00000467271	9606.ENSP00000261200	0	0	0	0	0.139	0.100	0	0.503	0.581
ABCA8	ZCCHC24	9606.ENSP00000467271	9606.ENSP00000361411	0	0	0	0	0.091	0	0	0.437	0.466
ABCA8	SVEP1	9606.ENSP00000467271	9606.ENSP00000363593	0	0	0	0	0.232	0.071	0	0.231	0.404
ABCA8	IGF1	9606.ENSP00000467271	9606.ENSP00000376637	0	0	0	0	0.151	0	0	0.403	0.471
ABCA8	MFAP4	9606.ENSP00000467271	9606.ENSP00000378957	0	0	0	0	0.138	0.045	0	0.442	0.501
ABCA8	SPARCL1	9606.ENSP00000467271	9606.ENSP00000414856	0	0	0	0	0.144	0	0	0.411	0.475
ABCA8	ABCB1	9606.ENSP00000467271	9606.ENSP00000478255	0	0	0	0.550	0.082	0.100	0	0.361	0.427
ABCA9	ABCC9	9606.ENSP00000342216	9606.ENSP00000261200	0	0	0	0	0.148	0.100	0	0.456	0.547
ABCB1	ABCC9	9606.ENSP00000478255	9606.ENSP00000261200	0	0	0	0.592	0.234	0.076	0	0.256	0.428
ABCB1	KDR	9606.ENSP00000478255	9606.ENSP00000263923	0	0	0	0	0.054	0	0	0.452	0.460
ABCB1	HPGDS	9606.ENSP00000478255	9606.ENSP00000295256	0	0	0	0	0.082	0	0	0.451	0.475
ABCB1	SLC22A11	9606.ENSP00000478255	9606.ENSP00000301891	0	0.002	0	0	0.059	0.070	0	0.453	0.480
ABCB1	CD34	9606.ENSP00000478255	9606.ENSP00000310036	0	0	0	0	0.055	0	0	0.412	0.420
ABCB1	SLCO2A1	9606.ENSP00000478255	9606.ENSP00000311291	0	0	0	0	0.067	0	0	0.449	0.464
ABCB1	RUNDC3B	9606.ENSP00000478255	9606.ENSP00000337732	0	0	0	0	0.257	0	0	0.475	0.593
ABCB1	CAV1	9606.ENSP00000478255	9606.ENSP00000339191	0	0	0	0	0.051	0.423	0	0.359	0.618
ABCB1	JUN	9606.ENSP00000478255	9606.ENSP00000360266	0	0	0	0	0.083	0.053	0	0.398	0.431
ABCB1	GAPDH	9606.ENSP00000478255	9606.ENSP00000380070	0	0	0	0	0	0.053	0	0.630	0.635
ABCB1	CLDN5	9606.ENSP00000478255	9606.ENSP00000385477	0	0	0	0	0.092	0.049	0	0.462	0.495
ABCB1	SLCO1C1	9606.ENSP00000478255	9606.ENSP00000444149	0	0	0	0	0.086	0	0	0.380	0.410
ABCB1	ABCG2	9606.ENSP00000478255	9606.ENSP00000498246	0	0.001	0	0.561	0.093	0.100	0	0.492	0.549
ABCB5	NGFR	9606.ENSP00000384881	9606.ENSP00000172229	0	0	0	0	0	0	0	0.582	0.582
ABCB5	HGF	9606.ENSP00000384881	9606.ENSP00000222390	0	0	0	0	0.115	0	0	0.414	0.460
ABCB5	ABCG2	9606.ENSP00000384881	9606.ENSP00000498246	0	0.001	0	0.559	0.067	0.100	0	0.391	0.445
ABCB5	KCNJ8	9606.ENSP00000384881	9606.ENSP00000499300	0	0	0	0	0.053	0.183	0	0.419	0.511
ABCC9	ATP1B2	9606.ENSP00000261200	9606.ENSP00000250111	0	0	0	0	0.053	0	0.540	0.090	0.569
ABCC9	SCN4B	9606.ENSP00000261200	9606.ENSP00000322460	0	0	0	0	0.044	0	0	0.437	0.439
ABCC9	CASQ2	9606.ENSP00000261200	9606.ENSP00000261448	0	0	0	0	0.088	0.071	0	0.483	0.524
ABCC9	CACNA1C	9606.ENSP00000261200	9606.ENSP00000266376	0	0	0	0	0.083	0.045	0	0.574	0.594
ABCC9	SCN2B	9606.ENSP00000261200	9606.ENSP00000278947	0	0	0	0	0.044	0	0	0.597	0.598
ABCC9	CACNA2D1	9606.ENSP00000261200	9606.ENSP00000349320	0	0	0	0	0.093	0.053	0	0.606	0.632
ABCC9	ATP1A2	9606.ENSP00000261200	9606.ENSP00000354490	0	0	0	0	0.084	0.078	0.540	0.213	0.653
ABCC9	KCNJ8	9606.ENSP00000261200	9606.ENSP00000499300	0	0.006	0	0	0.286	0.797	0.700	0.991	0.999
ABCG2	GLI1	9606.ENSP00000498246	9606.ENSP00000228682	0	0	0	0	0	0.081	0	0.622	0.638
ABCG2	HOXD10	9606.ENSP00000498246	9606.ENSP00000249501	0	0	0	0	0.101	0	0	0.423	0.459
ABCG2	LYVE1	9606.ENSP00000498246	9606.ENSP00000256178	0	0	0	0	0.061	0.081	0	0.677	0.697
ABCG2	EPAS1	9606.ENSP00000498246	9606.ENSP00000263734	0	0	0	0	0.089	0	0	0.372	0.404
ABCG2	KDR	9606.ENSP00000498246	9606.ENSP00000263923	0	0	0	0	0.094	0.057	0	0.474	0.511
ABCG2	FGF2	9606.ENSP00000498246	9606.ENSP00000264498	0	0	0	0	0.070	0	0	0.531	0.546
ABCG2	HPGDS	9606.ENSP00000498246	9606.ENSP00000295256	0	0	0	0	0.060	0	0	0.409	0.421
ABCG2	SLC22A11	9606.ENSP00000498246	9606.ENSP00000301891	0	0	0	0	0.047	0.094	0	0.729	0.746
ABCG2	CD34	9606.ENSP00000498246	9606.ENSP00000310036	0	0	0	0	0.044	0	0	0.552	0.553
ABCG2	ENG	9606.ENSP00000498246	9606.ENSP00000362299	0	0	0	0	0	0	0	0.411	0.410
ABCG2	KLF4	9606.ENSP00000498246	9606.ENSP00000363804	0	0	0	0	0.042	0.081	0	0.509	0.530
ABCG2	NOTCH4	9606.ENSP00000498246	9606.ENSP00000364163	0	0	0	0	0	0.070	0	0.524	0.538
ABCG2	GAPDH	9606.ENSP00000498246	9606.ENSP00000380070	0	0	0	0	0.066	0.051	0	0.608	0.622
ABCG2	CLDN5	9606.ENSP00000498246	9606.ENSP00000385477	0	0	0	0	0.095	0	0	0.515	0.542
ABCG2	SLCO1C1	9606.ENSP00000498246	9606.ENSP00000444149	0	0	0	0	0.068	0	0	0.419	0.435
ABCG2	PECAM1	9606.ENSP00000498246	9606.ENSP00000457421	0	0	0	0	0	0	0	0.421	0.421
ABHD12	CDH23	9606.ENSP00000365725	9606.ENSP00000224721	0	0	0	0	0	0	0	0.450	0.450
ABHD12	MGLL	9606.ENSP00000365725	9606.ENSP00000265052	0.079	0	0	0	0.044	0	0	0.831	0.839
ABI3BP	MAMDC2	9606.ENSP00000284322	9606.ENSP00000366387	0	0	0	0	0.146	0	0	0.356	0.427
ACKR1	TBX2	9606.ENSP00000357103	9606.ENSP00000240328	0	0	0	0	0.042	0	0	0.503	0.503
ACKR1	PLVAP	9606.ENSP00000357103	9606.ENSP00000252590	0	0	0	0	0.253	0	0	0.491	0.603
ACKR1	VWF	9606.ENSP00000357103	9606.ENSP00000261405	0	0	0	0	0.254	0	0	0.358	0.501
ACKR1	SELP	9606.ENSP00000357103	9606.ENSP00000263686	0	0	0	0	0.399	0	0	0.204	0.501
ACKR1	FGF7	9606.ENSP00000357103	9606.ENSP00000267843	0	0	0	0	0.072	0	0	0.460	0.477
ACKR1	CD34	9606.ENSP00000357103	9606.ENSP00000310036	0	0	0	0	0.126	0	0	0.350	0.408
ACKR1	APLNR	9606.ENSP00000357103	9606.ENSP00000475344	0	0	0	0	0.246	0	0	0.250	0.410
ACKR1	CLDN5	9606.ENSP00000357103	9606.ENSP00000385477	0	0	0	0	0.252	0	0	0.263	0.425
ACKR1	IL33	9606.ENSP00000357103	9606.ENSP00000370842	0	0	0	0	0.186	0	0	0.426	0.512
ACKR1	HBB	9606.ENSP00000357103	9606.ENSP00000494175	0	0	0	0	0.129	0	0	0.578	0.617
ACKR1	GATA1	9606.ENSP00000357103	9606.ENSP00000365858	0	0	0	0	0.151	0	0	0.599	0.644
ACKR1	CCL14	9606.ENSP00000357103	9606.ENSP00000479097	0	0	0	0	0.106	0	0	0.643	0.667
ACVR2A	TGFBR3	9606.ENSP00000241416	9606.ENSP00000212355	0	0	0	0	0.056	0.098	0.720	0.843	0.957
ACVR2A	ID1	9606.ENSP00000241416	9606.ENSP00000365280	0	0	0	0	0	0	0	0.405	0.405
ACVR2A	IGF1	9606.ENSP00000241416	9606.ENSP00000376637	0	0	0	0	0.049	0.063	0	0.480	0.496
ACVR2A	TGFBR2	9606.ENSP00000241416	9606.ENSP00000351905	0	0	0	0.826	0	0.188	0	0.462	0.544
ACVR2A	ENG	9606.ENSP00000241416	9606.ENSP00000362299	0	0	0	0	0.058	0.510	0	0.758	0.878
ACVR2A	SMAD9	9606.ENSP00000241416	9606.ENSP00000369154	0	0	0	0	0.093	0.126	0.500	0.752	0.888
ACVR2A	GDF3	9606.ENSP00000241416	9606.ENSP00000331745	0	0	0	0	0.048	0.126	0.900	0.318	0.935
ACVR2A	GDF10	9606.ENSP00000241416	9606.ENSP00000464145	0	0	0	0	0.048	0.126	0.900	0.660	0.967
ACVR2A	TDGF1	9606.ENSP00000241416	9606.ENSP00000296145	0	0	0	0	0	0.334	0.500	0.938	0.977
ACVR2A	ACVRL1	9606.ENSP00000241416	9606.ENSP00000373574	0	0	0	0.757	0.135	0.373	0.800	0.958	0.994
ACVRL1	TGFBR3	9606.ENSP00000373574	9606.ENSP00000212355	0	0	0	0	0	0.098	0	0.433	0.466
ACVRL1	DLL4	9606.ENSP00000373574	9606.ENSP00000249749	0	0	0	0	0.180	0.098	0	0.351	0.478
ACVRL1	VWF	9606.ENSP00000373574	9606.ENSP00000261405	0	0	0	0	0.258	0.067	0	0.228	0.419
ACVRL1	KDR	9606.ENSP00000373574	9606.ENSP00000263923	0	0	0	0	0.148	0.092	0	0.444	0.532
ACVRL1	FGF2	9606.ENSP00000373574	9606.ENSP00000264498	0	0	0	0	0.055	0	0	0.528	0.535
ACVRL1	SOX17	9606.ENSP00000373574	9606.ENSP00000297316	0	0	0	0	0.168	0.054	0	0.387	0.476
ACVRL1	CAV1	9606.ENSP00000373574	9606.ENSP00000339191	0	0	0	0	0.056	0.046	0	0.507	0.517
ACVRL1	GJA4	9606.ENSP00000373574	9606.ENSP00000343676	0	0	0	0	0.296	0.058	0	0.253	0.461
